,평점,일시,감상평
111,9,2015.03.01 23:08,자극적인 요소만 추구하는 오늘날 언론과 시청자들에게 던지는 돌직구. 자신의 성공만을 위해 나아가는 희대의 이기주의자인 주인공은 기생수의 괴물을 떠올리기도. 문제는 현실에도 있을법한 캐릭터라는 것. 괴물로 변해가는 인간을 효과적으로 연출한 영리한 영화. 
112,10,2019.11.10 00:48,평점 실화냐? 진짜 잘만든 영화인데 남주 연기도 소름이고 시나리오 연출 뭐하나 구멍이 없다
113,8,2020.04.06 03:27,조커도 기겁할 진짜 광기
114,10,2020.02.01 02:32,방송국에 있는 몇명일지 모르는 소시오패스 사이코패스 아이덴티티 정신병자들아 너희들은 중증환자다 정신병원 너네나 가라
115,8,2019.12.08 14:17,좋은 연출과 미장센
116,10,2019.10.28 06:56,스토리 연기 모두 개꿀잼 대사도 하나하나 주옥같음 ㄹㅇ 질렌할형의 진가가 여기서 나옴
117,8,2019.09.30 19:36,미쳤다 2시간짜리 영화인데 1시간으로 느껴짐 소시오패스 의 성공담 이런걸 어디에서 또 볼수있단 말인가.
118,10,2019.09.20 08:33,정말 연기의 신!!!나는 조작한다길래 살인이라도 저질르는줄 알았네.. 결말이 의외로 신선하다
119,10,2019.09.18 15:39,제이크질렌할 연기는 집중력이 있다영화 보는 내내 다른곳으로 신경을 못쓰게 한다 늘 그의 영화는 이렇게 집중해서 보게된다 진짜 대단한 배우!!
120,10,2019.09.05 19:04,아카데미 남우주연상은 제이크 길렌할이 탔어야 했다. 눈에 영혼은 없고 광기만있네. 영화는 잔인한 공포영화보다 무서웠다
121,8,2019.08.06 01:13,윤리와 도덕없는자가 자본주의 사회에서 살아남는법... 동료가 눈 앞에서 죽어갈때 그의 모습이 매우 소오름
122,10,2019.07.24 01:14,진짜 몰입도 최강입니다. 10점 줄만해요
123,10,2019.07.21 01:38,"주변에 이런사람 본 사람은 아주 크게 공감할 정도로 인물표현이 적날합니다!그의 일상과 언어, 분노표출, 어떤상황에서도 가면을 쓸 수 있는 현실에 존재하기 힘들것 같지만 존재하는 인물  ㅋㅋ 제주변엔 있어서 상당히 재밌게 봤네요^^ "
124,10,2019.07.13 00:57,정말 명작이다 질렌할 연기가 소름돋게만듦
125,10,2019.07.13 00:12,그냥 빠져들어서 봤네요 ㅎㅎ
126,10,2019.07.11 22:15,이 가짜뉴스 기자는 훗날 가짜히어로를 만들게 됩니다.
127,8,2019.07.05 02:02,"질렌한의 조수가 나였더라도  나는 억울하게 죽을것이다...,돈만 주고  죽여라..."
128,8,2019.07.04 12:19,내가 자극적인 조작된 가짜뉴스는다시는 안 본다.진짜 우연히 OCN에서 보다가2부 광고 다보고 엔딩까지 봄.연기도 넘 좋고 지금 나를 반성한다.
129,10,2019.07.04 12:13,제이크에 대표작품이라고해도 무방함
130,10,2019.07.03 02:17,생각할수록 무섭고 소름돋는 영화 ㅠㅠ 사람이 제일무섭다 소오름
131,10,2019.07.01 20:34,이 영화 정말 재밌게 봤습니다. 제이크 질렌할 연기 최고
132,10,2019.06.21 21:37,제이크 질할렌 연기 최고다
